------------------------------------------------------------------------------------
Date: 7/2/2026 -- 21:12:38 (uptime: 0d, 00h 00m 00s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 82
decoder.bytes                                 | Total                     | 18853
decoder.ipv4                                  | Total                     | 82
decoder.ethernet                              | Total                     | 82
decoder.tcp                                   | Total                     | 82
decoder.avg_pkt_size                          | Total                     | 229
decoder.max_pkt_size                          | Total                     | 721
flow.total                                    | Total                     | 3
flow.tcp                                      | Total                     | 3
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 2
flow.end.state.new                            | Total                     | 3
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 9800
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 2
flow.mgr.flows_notimeout                      | Total                     | 2
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
flow.recycler.recycled                        | Total                     | 3
flow.recycler.queue_max                       | Total                     | 3
tcp.memuse                                    | Total                     | 7471104
tcp.reassembly_memuse                         | Total                     | 1376256
flow.memuse                                   | Total                     | 7154304
------------------------------------------------------------------------------------
Date: 7/2/2026 -- 21:12:46 (uptime: 0d, 00h 00m 00s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 3679
decoder.bytes                                 | Total                     | 2391470
decoder.ipv4                                  | Total                     | 3649
decoder.ethernet                              | Total                     | 3679
decoder.arp                                   | Total                     | 30
decoder.tcp                                   | Total                     | 3566
tcp.syn                                       | Total                     | 47
tcp.synack                                    | Total                     | 47
tcp.rst                                       | Total                     | 128
decoder.udp                                   | Total                     | 83
decoder.avg_pkt_size                          | Total                     | 650
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 75
flow.tcp                                      | Total                     | 47
flow.udp                                      | Total                     | 28
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 12
flow.wrk.flows_evicted_needs_work             | Total                     | 17
flow.wrk.flows_evicted_pkt_inject             | Total                     | 20
flow.wrk.flows_evicted                        | Total                     | 7
flow.wrk.flows_injected                       | Total                     | 17
tcp.sessions                                  | Total                     | 47
tcp.ssn_from_pool                             | Total                     | 47
tcp.segment_from_cache                        | Total                     | 239
tcp.segment_from_pool                         | Total                     | 1345
detect.alert                                  | Total                     | 3
detect.alerts_suppressed                      | Total                     | 46
app_layer.flow.http                           | Total                     | 24
app_layer.tx.http                             | Total                     | 43
app_layer.flow.tls                            | Total                     | 16
app_layer.flow.dns_udp                        | Total                     | 18
app_layer.tx.dns_udp                          | Total                     | 36
app_layer.flow.failed_udp                     | Total                     | 10
flow.end.state.new                            | Total                     | 10
flow.end.state.established                    | Total                     | 18
flow.end.state.closed                         | Total                     | 47
flow.end.tcp_state.time_wait                  | Total                     | 3
flow.end.tcp_state.closed                     | Total                     | 44
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 9200
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
flow.recycler.recycled                        | Total                     | 51
flow.recycler.queue_max                       | Total                     | 26
tcp.memuse                                    | Total                     | 7471104
tcp.reassembly_memuse                         | Total                     | 1376256
flow.memuse                                   | Total                     | 7154304
------------------------------------------------------------------------------------
Date: 7/2/2026 -- 21:12:46 (uptime: 0d, 00h 00m 00s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 17013
decoder.bytes                                 | Total                     | 19393172
decoder.ipv4                                  | Total                     | 17013
decoder.ethernet                              | Total                     | 17013
decoder.tcp                                   | Total                     | 16847
tcp.syn                                       | Total                     | 108
tcp.synack                                    | Total                     | 100
tcp.rst                                       | Total                     | 61
decoder.udp                                   | Total                     | 166
decoder.avg_pkt_size                          | Total                     | 1139
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 159
flow.tcp                                      | Total                     | 102
flow.udp                                      | Total                     | 57
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 12
flow.wrk.flows_evicted_needs_work             | Total                     | 91
flow.wrk.flows_evicted_pkt_inject             | Total                     | 102
flow.wrk.flows_injected                       | Total                     | 91
tcp.sessions                                  | Total                     | 102
tcp.ssn_from_pool                             | Total                     | 102
tcp.segment_from_cache                        | Total                     | 1173
tcp.segment_from_pool                         | Total                     | 2272
tcp.stream_depth_reached                      | Total                     | 2
tcp.overlap                                   | Total                     | 5
detect.alert                                  | Total                     | 9
detect.alerts_suppressed                      | Total                     | 107
app_layer.flow.http                           | Total                     | 14
app_layer.tx.http                             | Total                     | 21
app_layer.flow.tls                            | Total                     | 86
app_layer.flow.dns_udp                        | Total                     | 57
app_layer.tx.dns_udp                          | Total                     | 166
flow.end.state.established                    | Total                     | 61
flow.end.state.closed                         | Total                     | 98
flow.end.tcp_state.established                | Total                     | 2
flow.end.tcp_state.close_wait                 | Total                     | 2
flow.end.tcp_state.closed                     | Total                     | 98
flow.mgr.rows_per_sec                         | Total                     | 7208
flow.spare                                    | Total                     | 9500
memcap_pressure                               | Total                     | 11
memcap_pressure_max                           | Total                     | 11
flow.recycler.recycled                        | Total                     | 68
flow.recycler.queue_max                       | Total                     | 43
tcp.memuse                                    | Total                     | 7471104
tcp.reassembly_memuse                         | Total                     | 1376256
flow.memuse                                   | Total                     | 7154304
------------------------------------------------------------------------------------
Date: 7/2/2026 -- 21:12:46 (uptime: 0d, 00h 00m 00s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 719
decoder.bytes                                 | Total                     | 648533
decoder.ipv4                                  | Total                     | 719
decoder.ethernet                              | Total                     | 719
decoder.tcp                                   | Total                     | 719
tcp.syn                                       | Total                     | 24
tcp.synack                                    | Total                     | 24
tcp.rst                                       | Total                     | 23
decoder.avg_pkt_size                          | Total                     | 901
decoder.max_pkt_size                          | Total                     | 1542
flow.total                                    | Total                     | 24
flow.tcp                                      | Total                     | 24
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 11
flow.wrk.flows_evicted_needs_work             | Total                     | 18
flow.wrk.flows_evicted_pkt_inject             | Total                     | 18
flow.wrk.flows_injected                       | Total                     | 18
